signal_date,execution_date,asset,asset_type,industry,score,rank,selected,target_weight
2020-02-28,2020-03-02,SZ399006,equity_index,,-0.5581133368096589,5,False,0.0
2020-03-31,2020-04-01,SH000300,equity_index,,0.12561457601231246,1,True,1.0
2020-03-31,2020-04-01,SH000905,equity_index,,0.12453315285861964,2,False,0.0
2020-03-31,2020-04-01,SH000852,equity_index,,0.11069648081201869,3,False,0.0
2020-03-31,2020-04-01,SZ399006,equity_index,,-0.12239062584652316,4,False,0.0
2020-03-31,2020-04-01,SH000016,equity_index,,-0.23845358383642484,5,False,0.0
2020-04-30,2020-05-06,SH000300,equity_index,,0.4792612891537068,1,True,1.0
2020-04-30,2020-05-06,SH000016,equity_index,,0.34863228708503047,2,False,0.0
2020-04-30,2020-05-06,SH000905,equity_index,,-0.0981441921052041,3,False,0.0
2020-04-30,2020-05-06,SH000852,equity_index,,-0.3634015903566242,4,False,0.0
2020-04-30,2020-05-06,SZ399006,equity_index,,-0.36634779377690835,5,False,0.0
2020-05-29,2020-06-01,SH000300,equity_index,,0.6123235503901225,1,True,1.0
2020-05-29,2020-06-01,SH000016,equity_index,,0.07074196912495673,2,False,0.0
2020-05-29,2020-06-01,SH000905,equity_index,,0.050822542426276325,3,False,0.0
2020-05-29,2020-06-01,SZ399006,equity_index,,-0.0885348142214251,4,False,0.0
2020-05-29,2020-06-01,SH000852,equity_index,,-0.6453532477199293,5,False,0.0
2020-06-30,2020-07-01,SH000905,equity_index,,0.31945695651632844,1,True,1.0
2020-06-30,2020-07-01,SH000852,equity_index,,0.20336507380050878,2,False,0.0
2020-06-30,2020-07-01,SH000300,equity_index,,0.0928201837611772,3,False,0.0
2020-06-30,2020-07-01,SZ399006,equity_index,,-0.29378149962065714,4,False,0.0
2020-06-30,2020-07-01,SH000016,equity_index,,-0.3218607144573583,5,False,0.0
2020-07-31,2020-08-03,SH000300,equity_index,,0.2810647363482046,1,True,1.0
2020-07-31,2020-08-03,SZ399006,equity_index,,0.21622281661526851,2,False,0.0
2020-07-31,2020-08-03,SH000016,equity_index,,0.16100780632832806,3,False,0.0
2020-07-31,2020-08-03,SH000905,equity_index,,0.06311809510986108,4,False,0.0
2020-07-31,2020-08-03,SH000852,equity_index,,0.04888478833786927,5,False,0.0
2020-07-31,2020-08-03,SH000688,equity_index,,-0.7702982427395302,6,False,0.0
2020-08-31,2020-09-01,SZ399006,equity_index,,0.31532444432261425,1,True,1.0
2020-08-31,2020-09-01,SH000300,equity_index,,0.3144900614544587,2,False,0.0
2020-08-31,2020-09-01,SH000905,equity_index,,0.11052394849400748,3,False,0.0
2020-08-31,2020-09-01,SH000852,equity_index,,0.048688258359853236,4,False,0.0
2020-08-31,2020-09-01,SH000016,equity_index,,-0.05135490544120533,5,False,0.0
2020-08-31,2020-09-01,SH000688,equity_index,,-0.7376718071897272,6,False,0.0
2020-09-30,2020-10-09,SH000300,equity_index,,0.4245074888818692,1,True,1.0
2020-09-30,2020-10-09,SZ399006,equity_index,,0.25079340355119256,2,False,0.0
2020-09-30,2020-10-09,SH000905,equity_index,,0.22057764185975182,3,False,0.0
2020-09-30,2020-10-09,SH000016,equity_index,,0.08217624240014546,4,False,0.0
2020-09-30,2020-10-09,SH000852,equity_index,,0.01434450826400585,5,False,0.0
2020-09-30,2020-10-09,SH000688,equity_index,,-0.9923992849569656,6,False,0.0
2020-10-30,2020-11-02,SH000300,equity_index,,0.47469902935784103,1,True,1.0
2020-10-30,2020-11-02,SH000016,equity_index,,0.3260665882907166,2,False,0.0
2020-10-30,2020-11-02,SH000905,equity_index,,0.05422740091466044,3,False,0.0
2020-10-30,2020-11-02,SZ399006,equity_index,,-0.08612459213277426,4,False,0.0
2020-10-30,2020-11-02,SH000852,equity_index,,-0.13709644324048373,5,False,0.0
2020-10-30,2020-11-02,SH000688,equity_index,,-0.6317719831899608,6,False,0.0
2020-11-30,2020-12-01,SH000300,equity_index,,0.6177012085984618,1,True,1.0
2020-11-30,2020-12-01,SH000016,equity_index,,0.33907248654443267,2,False,0.0
2020-11-30,2020-12-01,SZ399006,equity_index,,0.31106307487338153,3,False,0.0
2020-11-30,2020-12-01,SH000905,equity_index,,-0.02853692391418039,4,False,0.0
2020-11-30,2020-12-01,SH000852,equity_index,,-0.22584117522855063,5,False,0.0
2020-11-30,2020-12-01,SH000688,equity_index,,-1.0134586708735465,6,False,0.0
2020-12-31,2021-01-04,SH000300,equity_index,,0.7069371990483608,1,True,1.0
2020-12-31,2021-01-04,SH000016,equity_index,,0.7007427780299356,2,False,0.0
2020-12-31,2021-01-04,SH000905,equity_index,,0.03652017797400605,3,False,0.0
2020-12-31,2021-01-04,SH000852,equity_index,,-0.1452159304131265,4,False,0.0
2020-12-31,2021-01-04,SZ399006,equity_index,,-0.45779107969612715,5,False,0.0
2020-12-31,2021-01-04,SH000688,equity_index,,-0.8411931449430485,6,False,0.0
2021-01-29,2021-02-01,SH000016,equity_index,,0.47504933172983643,1,True,1.0
2021-01-29,2021-02-01,SH000300,equity_index,,0.37721721762979615,2,False,0.0
2021-01-29,2021-02-01,SH000905,equity_index,,0.3336988218405657,3,False,0.0
2021-01-29,2021-02-01,SH000852,equity_index,,-0.14899446094040025,4,False,0.0
2021-01-29,2021-02-01,SZ399006,equity_index,,-0.47418289577540573,5,False,0.0
2021-01-29,2021-02-01,SH000688,equity_index,,-0.562788014484391,6,False,0.0
2021-02-26,2021-03-01,SH000905,equity_index,,0.33141422145078225,1,True,1.0
2021-02-26,2021-03-01,SH000016,equity_index,,0.248057897113673,2,False,0.0
2021-02-26,2021-03-01,SH000300,equity_index,,0.16886127026681727,3,False,0.0
2021-02-26,2021-03-01,SH000688,equity_index,,-0.020571992398576933,4,False,0.0
2021-02-26,2021-03-01,SZ399006,equity_index,,-0.24862062076255254,5,False,0.0
2021-02-26,2021-03-01,SH000852,equity_index,,-0.4791407756701447,6,False,0.0
2021-03-31,2021-04-01,SH000016,equity_index,,0.49027382796820707,1,True,1.0
2021-03-31,2021-04-01,SH000300,equity_index,,0.3817350277965749,2,False,0.0
2021-03-31,2021-04-01,SH000905,equity_index,,0.23846520121519277,3,False,0.0
2021-03-31,2021-04-01,SH000852,equity_index,,-0.27130988686204593,4,False,0.0
2021-03-31,2021-04-01,SZ399006,equity_index,,-0.41095714721478743,5,False,0.0
2021-03-31,2021-04-01,SH000688,equity_index,,-0.42820702290313967,6,False,0.0
2021-04-30,2021-05-06,SH000905,equity_index,,0.7805082353660273,1,True,1.0
2021-04-30,2021-05-06,SH000300,equity_index,,0.16098396535621243,2,False,0.0
2021-04-30,2021-05-06,SH000852,equity_index,,0.1574850626477436,3,False,0.0
2021-04-30,2021-05-06,SH000016,equity_index,,0.132910419822314,4,False,0.0
2021-04-30,2021-05-06,SZ399006,equity_index,,-0.5226629707140058,5,False,0.0
2021-04-30,2021-05-06,SH000688,equity_index,,-0.7092247124782914,6,False,0.0
2021-05-31,2021-06-01,SH000905,equity_index,,0.8199782954889978,1,True,1.0
2021-05-31,2021-06-01,SH000852,equity_index,,0.36129516585128874,2,False,0.0
2021-05-31,2021-06-01,SH000300,equity_index,,0.010968972813830198,3,False,0.0
2021-05-31,2021-06-01,SZ399006,equity_index,,-0.0026962683232719525,4,False,0.0
2021-05-31,2021-06-01,SH000016,equity_index,,-0.3320509389187517,5,False,0.0
2021-05-31,2021-06-01,SH000688,equity_index,,-0.8574952269120931,6,False,0.0
2021-06-30,2021-07-01,SH000905,equity_index,,0.38288458640753054,1,True,1.0
2021-06-30,2021-07-01,SZ399006,equity_index,,0.1082885613631902,2,False,0.0
2021-06-30,2021-07-01,SH000852,equity_index,,0.06728268097195451,3,False,0.0
2021-06-30,2021-07-01,SH000300,equity_index,,-0.023682917165084638,4,False,0.0
2021-06-30,2021-07-01,SH000016,equity_index,,-0.1684574006171282,5,False,0.0
2021-06-30,2021-07-01,SH000688,equity_index,,-0.36631551096046244,6,False,0.0
2021-07-30,2021-08-02,SH000905,equity_index,,0.46234792982417927,1,True,1.0
2021-07-30,2021-08-02,SH000852,equity_index,,0.22003695973528417,2,False,0.0
2021-07-30,2021-08-02,SH000688,equity_index,,0.04551470478359404,3,False,0.0
2021-07-30,2021-08-02,SH000300,equity_index,,-0.13898578099589515,4,False,0.0
2021-07-30,2021-08-02,SH000016,equity_index,,-0.2944141009647602,5,False,0.0
2021-07-30,2021-08-02,SZ399006,equity_index,,-0.2944997123824028,6,False,0.0
2021-08-31,2021-09-01,SH000905,equity_index,,0.5275058218742927,1,True,1.0
2021-08-31,2021-09-01,SH000852,equity_index,,0.4203414705963104,2,False,0.0
2021-08-31,2021-09-01,SZ399006,equity_index,,0.01336727119136518,3,False,0.0
2021-08-31,2021-09-01,SH000688,equity_index,,-0.07981451560016317,4,False,0.0
2021-08-31,2021-09-01,SH000300,equity_index,,-0.1978739902579504,5,False,0.0
2021-08-31,2021-09-01,SH000016,equity_index,,-0.6835260578038539,6,False,0.0
2021-09-30,2021-10-08,SH000852,equity_index,,0.4467536288066778,1,True,1.0
2021-09-30,2021-10-08,SH000905,equity_index,,0.4265603544685993,2,False,0.0
2021-09-30,2021-10-08,SH000300,equity_index,,0.033318115888647235,3,False,0.0
2021-09-30,2021-10-08,SZ399006,equity_index,,-0.023218278450065077,4,False,0.0
2021-09-30,2021-10-08,SH000688,equity_index,,-0.16130663068649326,5,False,0.0
2021-09-30,2021-10-08,SH000016,equity_index,,-0.7221071900273662,6,False,0.0
2021-10-29,2021-11-01,SH000905,equity_index,,0.5345521829808564,1,True,1.0
2021-10-29,2021-11-01,SH000852,equity_index,,0.28467237038621185,2,False,0.0
2021-10-29,2021-11-01,SZ399006,equity_index,,0.21709268185190206,3,False,0.0
2021-10-29,2021-11-01,SH000300,equity_index,,0.10584546890112523,4,False,0.0
2021-10-29,2021-11-01,SH000688,equity_index,,-0.519521696030589,5,False,0.0
2021-10-29,2021-11-01,SH000016,equity_index,,-0.6226410080895051,6,False,0.0
2021-11-30,2021-12-01,SH000905,equity_index,,0.42701238774187655,1,True,1.0
2021-11-30,2021-12-01,SH000300,equity_index,,0.1561779676082361,2,False,0.0
2021-11-30,2021-12-01,SZ399006,equity_index,,0.08711262707453843,3,False,0.0
2021-11-30,2021-12-01,SH000852,equity_index,,0.08439919630810139,4,False,0.0
2021-11-30,2021-12-01,SH000016,equity_index,,-0.31971201304284125,5,False,0.0
2021-11-30,2021-12-01,SH000688,equity_index,,-0.4349901656899108,6,False,0.0
2021-12-31,2022-01-04,SH000852,equity_index,,0.6512539185124493,1,True,1.0
2021-12-31,2022-01-04,SH000905,equity_index,,0.596166047188079,2,False,0.0
2021-12-31,2022-01-04,SZ399006,equity_index,,0.010942200827022235,3,False,0.0
2021-12-31,2022-01-04,SH000300,equity_index,,-0.11726240455792877,4,False,0.0
2021-12-31,2022-01-04,SH000016,equity_index,,-0.336217338475724,5,False,0.0
2021-12-31,2022-01-04,SH000688,equity_index,,-0.8048824234938977,6,False,0.0
2022-01-28,2022-02-07,SH000905,equity_index,,0.4576054629729856,1,True,1.0
2022-01-28,2022-02-07,SH000016,equity_index,,0.3393937556451083,2,False,0.0
2022-01-28,2022-02-07,SH000300,equity_index,,0.3255082190629778,3,False,0.0
2022-01-28,2022-02-07,SH000852,equity_index,,0.2501547266733968,4,False,0.0
2022-01-28,2022-02-07,SZ399006,equity_index,,-0.31813558088840105,5,False,0.0
2022-01-28,2022-02-07,SH000688,equity_index,,-1.054526583466067,6,False,0.0
2022-02-28,2022-03-01,SH000016,equity_index,,0.7556659684801628,1,True,1.0
2022-02-28,2022-03-01,SH000300,equity_index,,0.5611386355123422,2,False,0.0
2022-02-28,2022-03-01,SH000905,equity_index,,0.19699606809924416,3,False,0.0
2022-02-28,2022-03-01,SH000852,equity_index,,-0.07065744203256494,4,False,0.0
2022-02-28,2022-03-01,SZ399006,equity_index,,-0.5034424057133534,5,False,0.0
2022-02-28,2022-03-01,SH000688,equity_index,,-0.9397008243458309,6,False,0.0
2022-03-31,2022-04-01,SH000016,equity_index,,0.5519064824534982,1,True,1.0
2022-03-31,2022-04-01,SH000852,equity_index,,0.5081559540132821,2,False,0.0
